sk_cliente;id_cliente;nome_cliente;data_nascimento;perfil_risco;segmento;uf;cidade;renda_estimada;patrimonio_estimado;data_inicio_relacionamento;canal_origem;status_cliente;faixa_etaria
19;CLI_0000019;Cliente_19;2022-02-27;agressivo;institucional;RS;Cidade_18;56584.24037968556;180640.78886220203;2021-08-27;telefone;ativo;18-25
20;CLI_0000020;Cliente_20;2021-06-15;conservador;private;SP;Cidade_19;41668.23628224181;48707.326605249604;2020-08-18;web;ativo;18-25
21;CLI_0000021;Cliente_21;2023-01-22;arrojado;institucional;BA;Cidade_20;127616.40220150557;171708.81846124807;2024-08-03;web;ativo;18-25
22;CLI_0000022;Cliente_22;2020-09-11;moderado;varejo;MG;Cidade_21;2026.5810972355803;39461.59841022059;2024-09-09;telefone;ativo;18-25
23;CLI_0000023;Cliente_23;2021-06-17;agressivo;institucional;SC;Cidade_22;16410.960644799077;30357.21200947098;2023-01-06;presencial;ativo;18-25
24;CLI_0000024;Cliente_24;2021-10-30;conservador;varejo;DF;Cidade_23;2939.0153088966276;212298.69809135442;2024-01-10;presencial;ativo;18-25
25;CLI_0000025;Cliente_25;2022-04-12;agressivo;institucional;RS;Cidade_24;10821.074132697056;589299.36184464;2023-05-21;app;ativo;18-25
26;CLI_0000026;Cliente_26;2023-12-04;moderado;varejo;RS;Cidade_25;6618.5082609647825;177587.29756988637;2024-01-21;presencial;ativo;18-25
27;CLI_0000027;Cliente_27;2020-12-30;arrojado;institucional;DF;Cidade_26;65962.00542080757;317718.96236501064;2023-03-14;app;ativo;18-25
28;CLI_0000028;Cliente_28;2022-07-27;moderado;varejo;RS;Cidade_27;23052.269025633937;36872.174140245836;2022-02-24;web;ativo;18-25
29;CLI_0000029;Cliente_29;2022-12-17;arrojado;varejo;SP;Cidade_28;129542.88112190965;212384.93671878192;2024-05-14;web;ativo;18-25
30;CLI_0000030;Cliente_30;2020-03-25;arrojado;private;SC;Cidade_29;1182.765775171736;264084.4495447337;2022-03-10;presencial;ativo;18-25
31;CLI_0000031;Cliente_31;2023-01-14;arrojado;institucional;RS;Cidade_30;52910.6017853779;8501.04050456625;2021-12-24;telefone;ativo;18-25
32;CLI_0000032;Cliente_32;2020-11-07;agressivo;varejo;RS;Cidade_31;176244.24115130783;20442.94201130105;2023-02-14;presencial;ativo;18-25
33;CLI_0000033;Cliente_33;2020-04-28;moderado;institucional;SP;Cidade_32;9669.451991953356;304267.89911494404;2024-09-08;app;inativo;18-25
34;CLI_0000034;Cliente_34;2024-09-28;agressivo;varejo;RS;Cidade_33;29208.561150491118;115945.85036925525;2022-03-18;app;ativo;18-25
35;CLI_0000035;Cliente_35;2024-10-29;moderado;private;DF;Cidade_34;60514.61840025777;104034.16518630306;2022-11-15;telefone;inativo;18-25
36;CLI_0000036;Cliente_36;2024-01-16;conservador;private;BA;Cidade_35;50138.47607974662;506071.8622110188;2022-06-17;web;ativo;18-25
37;CLI_0000037;Cliente_37;2021-07-10;conservador;private;BA;Cidade_36;41738.66298299332;964810.1760809411;2024-07-19;web;ativo;18-25
38;CLI_0000038;Cliente_38;2020-06-27;moderado;private;SP;Cidade_37;19782.382402195824;289110.8393060209;2023-05-20;presencial;ativo;18-25
39;CLI_0000039;Cliente_39;2023-06-03;moderado;varejo;BA;Cidade_38;65134.430315224;314615.19317715935;2022-02-05;app;ativo;18-25
40;CLI_0000040;Cliente_40;2022-03-14;moderado;institucional;PR;Cidade_39;52958.32192785897;46719.85385812289;2023-01-13;app;ativo;18-25
41;CLI_0000041;Cliente_41;2020-08-10;moderado;private;PR;Cidade_40;8884.6314680421;42694.45443787645;2020-10-11;telefone;ativo;18-25
42;CLI_0000042;Cliente_42;2022-06-23;arrojado;private;PR;Cidade_41;166337.9917955515;789352.0358949691;2021-09-16;telefone;inativo;18-25
43;CLI_0000043;Cliente_43;2020-03-03;agressivo;private;MG;Cidade_42;40559.71480988233;237548.85329954507;2023-09-06;presencial;ativo;18-25
44;CLI_0000044;Cliente_44;2024-07-18;arrojado;institucional;RS;Cidade_43;37270.63695488359;232125.0709973919;2022-10-23;telefone;ativo;18-25
45;CLI_0000045;Cliente_45;2021-04-17;agressivo;varejo;MG;Cidade_44;94271.65305253337;67427.12321581811;2021-07-27;web;ativo;18-25
46;CLI_0000046;Cliente_46;2023-04-24;agressivo;varejo;BA;Cidade_45;51140.02741806407;435154.1050745669;2021-10-23;telefone;ativo;18-25
47;CLI_0000047;Cliente_47;2021-07-23;agressivo;varejo;SP;Cidade_46;3869.9383229382947;9091.627718273832;2024-01-18;app;ativo;18-25
48;CLI_0000048;Cliente_48;2022-08-07;arrojado;varejo;PR;Cidade_47;35320.67692074098;64203.75162567219;2022-09-14;app;inativo;18-25
49;CLI_0000049;Cliente_49;2022-09-25;moderado;institucional;SP;Cidade_48;75842.13731412501;39724.66000465011;2021-03-11;app;inativo;18-25
50;CLI_0000050;Cliente_50;2020-12-03;arrojado;institucional;MG;Cidade_49;60195.327022220314;248332.21965544263;2021-06-25;app;ativo;18-25
51;CLI_0000051;Cliente_51;2024-11-05;arrojado;institucional;DF;Cidade_50;176625.80259573893;251298.97796559616;2022-05-04;web;ativo;18-25
52;CLI_0000052;Cliente_52;2023-11-16;agressivo;private;BA;Cidade_51;1261.5972340930018;153028.11892063456;2023-10-24;presencial;ativo;18-25
53;CLI_0000053;Cliente_53;2024-09-11;conservador;institucional;SC;Cidade_52;15137.684483827654;1054.6865134647621;2024-12-26;telefone;ativo;18-25
54;CLI_0000054;Cliente_54;2024-06-21;conservador;varejo;RS;Cidade_53;39831.74546918422;413906.67307890265;2020-12-05;presencial;ativo;18-25
55;CLI_0000055;Cliente_55;2022-12-27;arrojado;institucional;SC;Cidade_54;48312.11463165292;622845.2108212429;2023-10-10;presencial;ativo;18-25
56;CLI_0000056;Cliente_56;2024-08-10;agressivo;private;BA;Cidade_55;16034.786156429114;45207.661186980244;2023-02-01;telefone;ativo;18-25
57;CLI_0000057;Cliente_57;2020-06-10;arrojado;varejo;PR;Cidade_56;87665.8952003923;369326.8578257342;2022-08-27;app;ativo;18-25
58;CLI_0000058;Cliente_58;2020-12-23;arrojado;institucional;DF;Cidade_57;8977.13863461632;724516.8833231337;2024-10-30;app;ativo;18-25
59;CLI_0000059;Cliente_59;2020-03-23;moderado;varejo;BA;Cidade_58;42.473515974436786;79194.3000792026;2021-08-12;app;inativo;18-25
60;CLI_0000060;Cliente_60;2021-08-17;agressivo;varejo;SP;Cidade_59;152237.09138431816;40927.379302840076;2020-11-19;telefone;ativo;18-25
61;CLI_0000061;Cliente_61;2021-12-10;conservador;institucional;RJ;Cidade_60;24842.58530231466;759204.3294827505;2024-05-21;telefone;inativo;18-25
62;CLI_0000062;Cliente_62;2021-05-10;conservador;institucional;DF;Cidade_61;157900.56271690404;12320.469439738747;2020-05-05;app;ativo;18-25
63;CLI_0000063;Cliente_63;2024-02-22;conservador;private;PR;Cidade_62;16281.770410628054;64581.90522100635;2024-02-01;web;inativo;18-25
64;CLI_0000064;Cliente_64;2021-10-13;arrojado;institucional;SC;Cidade_63;3277.5455452252017;270981.82750904915;2022-12-11;presencial;ativo;18-25
65;CLI_0000065;Cliente_65;2021-05-27;agressivo;institucional;RS;Cidade_64;74034.56090818773;192128.72890045072;2020-10-26;web;ativo;18-25
66;CLI_0000066;Cliente_66;2022-09-17;moderado;institucional;PR;Cidade_65;90339.4520237263;230726.1106978922;2021-02-19;presencial;inativo;18-25
67;CLI_0000067;Cliente_67;2020-09-14;conservador;varejo;PR;Cidade_66;33872.24533799511;246263.00413536254;2020-10-11;presencial;ativo;18-25
68;CLI_0000068;Cliente_68;2024-01-04;agressivo;private;RS;Cidade_67;3835.9718858339447;231764.34216194836;2023-08-04;web;ativo;18-25
69;CLI_0000069;Cliente_69;2020-05-16;conservador;varejo;SC;Cidade_68;53085.20394724251;83783.40731533595;2020-09-25;presencial;ativo;18-25
70;CLI_0000070;Cliente_70;2024-12-07;moderado;institucional;PR;Cidade_69;10053.44828932206;74648.05798960198;2023-05-29;web;ativo;18-25
71;CLI_0000071;Cliente_71;2023-11-11;agressivo;private;SP;Cidade_70;94650.27244594738;111886.45155175813;2020-08-22;app;ativo;18-25
72;CLI_0000072;Cliente_72;2020-12-28;arrojado;institucional;BA;Cidade_71;16011.85548819219;329722.64434112876;2024-01-04;telefone;ativo;18-25
73;CLI_0000073;Cliente_73;2020-01-11;arrojado;varejo;SP;Cidade_72;94097.24893435182;557000.4029902356;2024-08-05;presencial;inativo;18-25
74;CLI_0000074;Cliente_74;2024-01-29;conservador;varejo;BA;Cidade_73;27836.894069879898;121484.2317553165;2022-10-18;web;ativo;18-25
75;CLI_0000075;Cliente_75;2023-07-14;conservador;institucional;RJ;Cidade_74;45377.43267778244;17933.774575644435;2024-10-30;telefone;ativo;18-25
76;CLI_0000076;Cliente_76;2023-08-24;agressivo;private;PR;Cidade_75;77928.33309970795;557089.5122237701;2021-12-13;presencial;ativo;18-25
77;CLI_0000077;Cliente_77;2023-11-09;moderado;varejo;RJ;Cidade_76;2063.9821999845763;16769.432276645857;2021-03-22;presencial;ativo;18-25
78;CLI_0000078;Cliente_78;2020-05-15;conservador;institucional;MG;Cidade_77;86064.86561662739;34658.791256372155;2020-11-19;presencial;ativo;18-25
79;CLI_0000079;Cliente_79;2021-10-16;agressivo;institucional;SC;Cidade_78;7462.603982213234;404503.4061429073;2022-05-24;presencial;inativo;18-25
80;CLI_0000080;Cliente_80;2020-07-30;moderado;institucional;BA;Cidade_79;22190.94156612603;160359.75027792086;2020-08-26;telefone;ativo;18-25
81;CLI_0000081;Cliente_81;2024-04-25;conservador;private;SP;Cidade_80;32006.965705126862;86984.81820606427;2024-05-18;presencial;ativo;18-25
82;CLI_0000082;Cliente_82;2023-02-12;conservador;institucional;DF;Cidade_81;112893.29528117338;534468.1480183847;2023-12-03;presencial;ativo;18-25
83;CLI_0000083;Cliente_83;2021-08-27;agressivo;institucional;SP;Cidade_82;1134.8125120699958;646323.2725893853;2022-10-23;telefone;ativo;18-25
84;CLI_0000084;Cliente_84;2020-04-26;conservador;varejo;PR;Cidade_83;40958.49691748268;80323.31289266913;2023-08-10;telefone;ativo;18-25
85;CLI_0000085;Cliente_85;2021-07-21;arrojado;institucional;SP;Cidade_84;51434.14280330865;405634.3483945306;2020-04-01;presencial;inativo;18-25
86;CLI_0000086;Cliente_86;2021-08-16;moderado;private;MG;Cidade_85;19032.45265191062;226969.4961561757;2021-01-06;telefone;ativo;18-25
87;CLI_0000087;Cliente_87;2023-08-25;moderado;institucional;RS;Cidade_86;17158.80687335028;64176.46309593565;2023-02-08;telefone;ativo;18-25
88;CLI_0000088;Cliente_88;2023-03-10;arrojado;private;SP;Cidade_87;33713.24476482868;567515.6870982362;2022-05-21;web;inativo;18-25
89;CLI_0000089;Cliente_89;2024-06-08;agressivo;institucional;PR;Cidade_88;10357.38461358287;13029.15178892458;2023-01-09;telefone;ativo;18-25
90;CLI_0000090;Cliente_90;2022-05-12;arrojado;institucional;RJ;Cidade_89;31566.768326048095;76528.20388688972;2020-06-11;app;ativo;18-25
91;CLI_0000091;Cliente_91;2020-08-06;arrojado;institucional;SC;Cidade_90;72413.87650884979;100922.86103959463;2023-04-06;web;ativo;18-25
92;CLI_0000092;Cliente_92;2023-07-26;moderado;private;SP;Cidade_91;93344.25313946279;234658.4716293345;2024-01-07;app;ativo;18-25
93;CLI_0000093;Cliente_93;2023-10-21;agressivo;varejo;SP;Cidade_92;24319.7730041039;7838.212213840988;2022-09-24;web;ativo;18-25
94;CLI_0000094;Cliente_94;2022-10-21;conservador;private;SP;Cidade_93;48025.418151344245;441049.7604248921;2021-10-14;web;ativo;18-25
95;CLI_0000095;Cliente_95;2023-11-08;arrojado;varejo;PR;Cidade_94;1.0259085695605663;215234.9468653906;2020-11-14;web;ativo;18-25
96;CLI_0000096;Cliente_96;2022-06-20;arrojado;private;SC;Cidade_95;39964.56501014342;64323.0231719773;2021-04-29;web;ativo;18-25
97;CLI_0000097;Cliente_97;2022-08-12;agressivo;institucional;RS;Cidade_96;184918.83127579748;214789.06341255174;2022-08-12;telefone;ativo;18-25
98;CLI_0000098;Cliente_98;2022-02-19;arrojado;institucional;SP;Cidade_97;18717.586457991783;153972.78371320936;2021-04-11;app;ativo;18-25
99;CLI_0000099;Cliente_99;2020-02-16;agressivo;varejo;RS;Cidade_98;45165.77924358882;81977.70401960467;2023-11-21;telefone;ativo;18-25
100;CLI_0000100;Cliente_100;2020-07-16;conservador;varejo;RS;Cidade_99;71833.85774812636;5802.663112684892;2020-08-28;telefone;inativo;18-25
101;CLI_0000101;Cliente_101;2020-02-27;agressivo;private;SC;Cidade_0;46943.82159252407;160191.32800398802;2022-07-31;presencial;ativo;18-25
102;CLI_0000102;Cliente_102;2023-03-08;conservador;private;SC;Cidade_1;27107.212811776244;17151.127290019653;2022-06-24;telefone;ativo;18-25
103;CLI_0000103;Cliente_103;2021-07-28;agressivo;varejo;MG;Cidade_2;8277.68078751199;332331.96527043893;2020-09-10;web;ativo;18-25
104;CLI_0000104;Cliente_104;2022-07-17;arrojado;varejo;RJ;Cidade_3;31153.208936820392;18538.365626347873;2024-12-21;presencial;ativo;18-25
105;CLI_0000105;Cliente_105;2024-07-15;conservador;private;SP;Cidade_4;17462.57183666066;111981.91258917698;2024-02-12;presencial;ativo;18-25
106;CLI_0000106;Cliente_106;2021-03-31;arrojado;varejo;SP;Cidade_5;59523.27019621916;114027.31482881401;2021-12-06;telefone;ativo;18-25
107;CLI_0000107;Cliente_107;2022-01-19;conservador;varejo;SP;Cidade_6;29161.99992791667;162477.00273691874;2023-06-04;app;ativo;18-25
108;CLI_0000108;Cliente_108;2023-10-11;agressivo;varejo;RS;Cidade_7;94815.93683432236;8061.902280917141;2023-08-01;presencial;ativo;18-25
109;CLI_0000109;Cliente_109;2021-02-21;agressivo;varejo;DF;Cidade_8;10741.56203035405;45589.124449136914;2023-04-03;telefone;ativo;18-25
110;CLI_0000110;Cliente_110;2020-05-20;agressivo;institucional;SC;Cidade_9;27040.2028449449;44504.04512564882;2022-02-28;telefone;ativo;18-25
111;CLI_0000111;Cliente_111;2021-06-13;moderado;institucional;BA;Cidade_10;40766.30303436764;182744.11485738703;2024-06-04;web;inativo;18-25
112;CLI_0000112;Cliente_112;2020-10-21;moderado;varejo;DF;Cidade_11;6734.584763098672;61206.01652015234;2023-11-09;app;ativo;18-25
113;CLI_0000113;Cliente_113;2024-08-24;conservador;private;RJ;Cidade_12;44325.68478820372;31142.542037211806;2022-09-16;presencial;ativo;18-25
114;CLI_0000114;Cliente_114;2024-01-15;moderado;institucional;PR;Cidade_13;17189.445287061546;3704.7158742617694;2020-01-05;app;ativo;18-25
115;CLI_0000115;Cliente_115;2023-03-02;agressivo;private;SP;Cidade_14;13038.19399797338;367198.4990406111;2021-02-11;app;ativo;18-25
116;CLI_0000116;Cliente_116;2024-05-10;moderado;private;BA;Cidade_15;7652.357597787257;711908.7500647907;2022-07-18;app;ativo;18-25
117;CLI_0000117;Cliente_117;2024-01-07;moderado;institucional;BA;Cidade_16;21530.063985890905;242981.13236758238;2024-06-29;presencial;ativo;18-25
118;CLI_0000118;Cliente_118;2020-12-06;arrojado;private;SC;Cidade_17;132241.3879642881;106448.13474996903;2023-02-21;presencial;ativo;18-25
119;CLI_0000119;Cliente_119;2024-06-17;conservador;private;BA;Cidade_18;1574.8356945465391;26024.229549705473;2022-02-02;app;ativo;18-25
120;CLI_0000120;Cliente_120;2022-09-11;conservador;varejo;RJ;Cidade_19;95579.95120749605;128911.35069398694;2020-03-28;telefone;ativo;18-25
121;CLI_0000121;Cliente_121;2024-01-14;conservador;varejo;BA;Cidade_20;25321.838260972974;122247.7253849731;2022-12-26;presencial;inativo;18-25
122;CLI_0000122;Cliente_122;2024-06-24;moderado;varejo;PR;Cidade_21;41231.36406630426;108902.7875448984;2021-10-02;web;ativo;18-25
123;CLI_0000123;Cliente_123;2021-08-03;agressivo;institucional;SP;Cidade_22;35955.29014497944;95060.67561193547;2022-09-08;app;ativo;18-25
124;CLI_0000124;Cliente_124;2020-07-19;arrojado;varejo;PR;Cidade_23;130009.3176547348;137335.0179797256;2023-10-31;presencial;inativo;18-25
125;CLI_0000125;Cliente_125;2021-02-20;conservador;private;SP;Cidade_24;73511.90840437418;15199.335142829206;2024-01-07;presencial;ativo;18-25
126;CLI_0000126;Cliente_126;2022-02-18;moderado;private;MG;Cidade_25;209400.47139714606;7809.421764217418;2024-04-27;app;inativo;18-25
127;CLI_0000127;Cliente_127;2024-02-02;agressivo;private;RS;Cidade_26;79098.42175536079;13219.47429644786;2023-03-07;web;ativo;18-25
128;CLI_0000128;Cliente_128;2024-04-20;arrojado;private;BA;Cidade_27;17540.927322766915;44628.33029289713;2024-07-11;telefone;ativo;18-25
129;CLI_0000129;Cliente_129;2020-01-13;arrojado;private;PR;Cidade_28;164684.9248324046;65165.49034588154;2023-06-15;telefone;ativo;18-25
130;CLI_0000130;Cliente_130;2022-07-21;conservador;institucional;RS;Cidade_29;205419.50951647924;37135.2642415773;2023-12-02;presencial;ativo;18-25
131;CLI_0000131;Cliente_131;2022-02-01;conservador;private;RS;Cidade_30;6567.756897371532;58048.192279132985;2023-06-05;web;ativo;18-25
132;CLI_0000132;Cliente_132;2021-02-09;agressivo;institucional;RS;Cidade_31;115654.09146537803;41119.034913283016;2024-05-11;web;inativo;18-25
133;CLI_0000133;Cliente_133;2020-08-06;moderado;private;RS;Cidade_32;54562.30174675276;32678.747018787395;2021-02-10;app;ativo;18-25
134;CLI_0000134;Cliente_134;2021-09-08;agressivo;institucional;RS;Cidade_33;127548.32920558786;69340.01792473425;2023-10-19;app;ativo;18-25
135;CLI_0000135;Cliente_135;2024-09-17;conservador;institucional;SP;Cidade_34;123691.81972154151;101337.71524294144;2020-08-01;web;ativo;18-25
136;CLI_0000136;Cliente_136;2021-08-13;agressivo;private;RJ;Cidade_35;110991.77853510351;272724.09325553617;2020-06-16;telefone;inativo;18-25
137;CLI_0000137;Cliente_137;2022-08-05;moderado;private;BA;Cidade_36;108261.12467723456;622677.8062079455;2022-06-16;app;ativo;18-25
138;CLI_0000138;Cliente_138;2023-07-07;arrojado;private;BA;Cidade_37;6258.110690670936;502575.5893281831;2021-07-02;app;ativo;18-25
139;CLI_0000139;Cliente_139;2021-10-25;arrojado;private;SP;Cidade_38;7745.965073292127;129227.44671586294;2022-10-25;telefone;ativo;18-25
140;CLI_0000140;Cliente_140;2024-11-09;arrojado;varejo;PR;Cidade_39;6265.6581416827175;123736.03048069435;2023-05-22;telefone;inativo;18-25
141;CLI_0000141;Cliente_141;2024-10-23;arrojado;varejo;SP;Cidade_40;4772.109309854957;26865.861066548037;2021-02-17;app;ativo;18-25
142;CLI_0000142;Cliente_142;2021-04-04;conservador;institucional;SC;Cidade_41;21792.500846055544;713262.4763341852;2023-07-02;web;ativo;18-25
143;CLI_0000143;Cliente_143;2022-06-26;conservador;institucional;DF;Cidade_42;57594.07369076514;285504.78536647727;2024-12-22;app;ativo;18-25
144;CLI_0000144;Cliente_144;2021-07-03;moderado;varejo;RS;Cidade_43;21901.42534147668;376207.6786494959;2023-10-19;telefone;ativo;18-25
145;CLI_0000145;Cliente_145;2021-06-04;moderado;institucional;RJ;Cidade_44;63701.94351598919;53357.35896019677;2020-11-13;app;ativo;18-25
146;CLI_0000146;Cliente_146;2020-03-08;moderado;private;BA;Cidade_45;85818.62916015634;102527.44744108395;2023-03-03;presencial;ativo;18-25
147;CLI_0000147;Cliente_147;2023-01-18;moderado;institucional;PR;Cidade_46;54862.87136733049;21660.769419722623;2020-01-18;telefone;ativo;18-25
148;CLI_0000148;Cliente_148;2022-07-06;agressivo;institucional;MG;Cidade_47;31284.21506546491;565411.0271438695;2022-05-07;app;ativo;18-25
149;CLI_0000149;Cliente_149;2020-04-04;moderado;institucional;SP;Cidade_48;17514.585125733996;67326.63126920434;2022-08-31;presencial;ativo;18-25
150;CLI_0000150;Cliente_150;2021-05-23;arrojado;varejo;MG;Cidade_49;6642.487675675976;181272.91310851768;2024-11-10;telefone;inativo;18-25
151;CLI_0000151;Cliente_151;2024-07-16;arrojado;varejo;BA;Cidade_50;34026.53795932152;33026.82899203359;2023-09-08;presencial;ativo;18-25
152;CLI_0000152;Cliente_152;2021-03-13;arrojado;institucional;SP;Cidade_51;63576.71955981741;324703.9749354276;2023-07-13;web;ativo;18-25
153;CLI_0000153;Cliente_153;2020-09-21;agressivo;private;BA;Cidade_52;39730.56612574492;41243.6853611558;2022-08-30;telefone;ativo;18-25
154;CLI_0000154;Cliente_154;2022-06-12;moderado;institucional;SP;Cidade_53;63913.614998218036;331499.279483507;2022-07-26;presencial;inativo;18-25
155;CLI_0000155;Cliente_155;2024-12-04;arrojado;varejo;PR;Cidade_54;20414.931362491097;102753.50536607696;2024-12-16;web;ativo;18-25
156;CLI_0000156;Cliente_156;2021-03-17;arrojado;private;BA;Cidade_55;3456.576004304857;172434.86810642458;2020-02-08;presencial;ativo;18-25
157;CLI_0000157;Cliente_157;2023-05-12;arrojado;institucional;SC;Cidade_56;73723.04957408868;62862.37878454489;2021-07-07;telefone;inativo;18-25
158;CLI_0000158;Cliente_158;2023-10-22;arrojado;varejo;MG;Cidade_57;12405.385952698107;428734.50764700706;2020-09-01;telefone;inativo;18-25
159;CLI_0000159;Cliente_159;2021-03-09;conservador;private;RJ;Cidade_58;47892.767321653606;285313.67104307865;2021-07-29;telefone;ativo;18-25
160;CLI_0000160;Cliente_160;2023-08-22;moderado;institucional;PR;Cidade_59;81556.76654715178;87475.99159214729;2022-04-26;web;ativo;18-25
161;CLI_0000161;Cliente_161;2021-11-02;moderado;varejo;SC;Cidade_60;7489.427163970258;176070.87119790245;2021-09-16;app;ativo;18-25
162;CLI_0000162;Cliente_162;2023-02-28;agressivo;private;PR;Cidade_61;45626.72850618257;27620.010391969896;2024-10-23;telefone;ativo;18-25
163;CLI_0000163;Cliente_163;2023-03-02;conservador;institucional;SP;Cidade_62;58458.34138475122;34983.15919334863;2023-05-27;web;ativo;18-25
164;CLI_0000164;Cliente_164;2022-09-05;agressivo;private;MG;Cidade_63;68625.66129819369;152575.6165451377;2023-08-22;web;inativo;18-25
165;CLI_0000165;Cliente_165;2020-06-13;arrojado;private;BA;Cidade_64;7988.876360707567;204663.17463464304;2023-09-17;telefone;ativo;18-25
166;CLI_0000166;Cliente_166;2024-03-05;agressivo;private;MG;Cidade_65;87181.66540995943;163032.1014367261;2024-06-29;telefone;ativo;18-25
167;CLI_0000167;Cliente_167;2021-08-08;arrojado;varejo;PR;Cidade_66;4943.99833419644;163927.19940170078;2023-11-03;telefone;ativo;18-25
168;CLI_0000168;Cliente_168;2020-12-06;arrojado;institucional;SP;Cidade_67;36655.088835282244;271184.18080280116;2020-01-30;telefone;ativo;18-25
169;CLI_0000169;Cliente_169;2020-03-15;moderado;private;DF;Cidade_68;29296.562021168786;465390.8871332411;2021-04-22;app;ativo;18-25
170;CLI_0000170;Cliente_170;2022-12-14;moderado;private;MG;Cidade_69;12536.406210393727;98073.12143056872;2024-12-11;app;ativo;18-25
171;CLI_0000171;Cliente_171;2023-05-22;moderado;private;SC;Cidade_70;17971.847842727286;153976.83299889887;2023-04-05;presencial;ativo;18-25
172;CLI_0000172;Cliente_172;2020-01-31;moderado;varejo;BA;Cidade_71;8982.403684176477;447030.12454503163;2020-05-04;app;ativo;18-25
173;CLI_0000173;Cliente_173;2022-07-24;moderado;private;RS;Cidade_72;27732.449194517107;124828.22693983861;2022-05-02;presencial;ativo;18-25
174;CLI_0000174;Cliente_174;2021-02-17;conservador;varejo;PR;Cidade_73;1807.8388239101535;117811.11826998238;2024-11-26;presencial;ativo;18-25
175;CLI_0000175;Cliente_175;2023-03-24;moderado;varejo;RJ;Cidade_74;109873.1041601952;290927.02374358167;2024-12-17;web;ativo;18-25
176;CLI_0000176;Cliente_176;2020-11-14;agressivo;private;RJ;Cidade_75;8925.68091236966;419604.4206904724;2022-02-28;app;inativo;18-25
177;CLI_0000177;Cliente_177;2023-06-15;arrojado;private;PR;Cidade_76;108585.63005523762;267632.1218892592;2024-06-18;app;ativo;18-25
178;CLI_0000178;Cliente_178;2021-12-07;moderado;varejo;DF;Cidade_77;99599.89295652062;21099.74745330341;2022-12-16;app;ativo;18-25
179;CLI_0000179;Cliente_179;2024-09-06;conservador;varejo;RS;Cidade_78;30044.556370775517;125012.11481533245;2022-07-19;web;ativo;18-25
180;CLI_0000180;Cliente_180;2020-09-08;agressivo;private;SP;Cidade_79;34430.44592486509;47643.728072282785;2022-01-22;presencial;inativo;18-25
181;CLI_0000181;Cliente_181;2021-09-14;agressivo;varejo;MG;Cidade_80;17970.61582307957;76353.98357606745;2024-06-17;app;ativo;18-25
